City,Crime_Description,Victim_Age,Victim_Gender,Weapon_Used,Case_Closed
Indore,KIDNAPPING,55,F,Firearm,No
Chennai,BURGLARY,11,F,None,Yes
Ghaziabad,COUNTERFEITING,49,M,Blunt Object,Yes
Kolkata,IDENTITY THEFT,56,F,Poison,No
Kanpur,SEXUAL ASSAULT,69,F,Knife,Yes
Visakhapatnam,COUNTERFEITING,79,F,Blunt Object,Yes
Chennai,IDENTITY THEFT,17,F,Explosives,No
Nagpur,ILLEGAL POSSESSION,71,F,Explosives,No
Kanpur,KIDNAPPING,16,F,Knife,Yes
Surat,ROBBERY,71,M,Other,No
Srinagar,SHOPLIFTING,50,M,Explosives,Yes
Indore,DRUG OFFENSE,38,M,Blunt Object,No
Hyderabad,PUBLIC INTOXICATION,39,F,Knife,Yes
Delhi,IDENTITY THEFT,36,M,Other,No
Bangalore,VEHICLE - STOLEN,56,F,None,No
Bhopal,TRAFFIC VIOLATION,78,M,Blunt Object,No
Ahmedabad,ASSAULT,21,M,Other,No
Indore,ASSAULT,10,F,Poison,No
Bhopal,TRAFFIC VIOLATION,44,F,Knife,No
Chennai,TRAFFIC VIOLATION,58,M,Knife,Yes
Ludhiana,KIDNAPPING,45,F,Blunt Object,Yes
Srinagar,FIREARM OFFENSE,12,F,Poison,No
Ludhiana,FRAUD,62,F,Other,Yes
Ludhiana,BURGLARY,48,F,Blunt Object,No
Mumbai,ARSON,55,F,None,Yes
Indore,ASSAULT,70,F,Blunt Object,No
Mumbai,SHOPLIFTING,38,M,Other,Yes
Pune,VEHICLE - STOLEN,12,F,Explosives,Yes
Bangalore,IDENTITY THEFT,30,F,Firearm,Yes
Chennai,ILLEGAL POSSESSION,25,F,Blunt Object,Yes
Ahmedabad,EXTORTION,22,F,Other,No
Chennai,SHOPLIFTING,69,F,Explosives,No
Chennai,BURGLARY,31,F,Poison,No
Thane,BURGLARY,59,M,Poison,No
Chennai,ASSAULT,51,F,Blunt Object,Yes
Bangalore,DOMESTIC VIOLENCE,48,M,Poison,Yes
Kolkata,VANDALISM,62,M,Other,Yes
Delhi,TRAFFIC VIOLATION,50,M,Explosives,No
Kolkata,IDENTITY THEFT,32,M,Explosives,Yes
Srinagar,SEXUAL ASSAULT,40,F,Other,No
Nagpur,ROBBERY,55,F,Blunt Object,Yes
Jaipur,IDENTITY THEFT,64,M,None,No
Chennai,ARSON,59,F,None,Yes
Kanpur,DOMESTIC VIOLENCE,12,F,Blunt Object,No
Kalyan,PUBLIC INTOXICATION,30,F,None,Yes
Pune,TRAFFIC VIOLATION,13,F,Knife,Yes
Faridabad,FIREARM OFFENSE,27,M,Poison,No
Kanpur,TRAFFIC VIOLATION,50,F,Firearm,Yes
Indore,COUNTERFEITING,66,F,Other,No
Bangalore,SEXUAL ASSAULT,26,M,Firearm,Yes
Ahmedabad,DOMESTIC VIOLENCE,35,F,Poison,Yes
Delhi,DRUG OFFENSE,29,F,None,Yes
Kolkata,ARSON,32,F,Firearm,No
Bangalore,DRUG OFFENSE,37,F,Firearm,No
Bangalore,ASSAULT,18,F,Firearm,No
Kanpur,BURGLARY,60,M,Poison,Yes
Delhi,BURGLARY,42,M,Other,Yes
Mumbai,DOMESTIC VIOLENCE,42,F,Knife,Yes
Nashik,COUNTERFEITING,67,M,None,No
Lucknow,VANDALISM,79,F,Other,No
Bangalore,ARSON,41,M,Knife,No
Pune,FRAUD,45,M,Poison,No
Kolkata,TRAFFIC VIOLATION,62,M,None,Yes
Bangalore,ARSON,64,F,Explosives,No
Mumbai,FRAUD,67,M,Knife,No
Bangalore,SHOPLIFTING,67,F,Explosives,Yes
Visakhapatnam,VANDALISM,45,F,Explosives,No
Patna,ROBBERY,53,F,Poison,No
Bangalore,BURGLARY,68,M,Firearm,No
Mumbai,ARSON,70,M,Knife,No
Surat,DRUG OFFENSE,42,F,Other,Yes
Delhi,ARSON,15,F,Poison,Yes
Delhi,ILLEGAL POSSESSION,57,M,Knife,Yes
Mumbai,COUNTERFEITING,70,M,Explosives,Yes
Hyderabad,VANDALISM,42,M,None,No
Bangalore,SHOPLIFTING,77,F,Poison,No
Ahmedabad,SHOPLIFTING,40,F,None,Yes
Delhi,COUNTERFEITING,53,F,Other,No
Faridabad,SEXUAL ASSAULT,21,M,Other,Yes
Kanpur,DOMESTIC VIOLENCE,64,F,None,Yes
Ahmedabad,PUBLIC INTOXICATION,36,F,Knife,Yes
Pune,ROBBERY,14,F,Knife,Yes
Delhi,KIDNAPPING,30,F,Blunt Object,No
Pune,CYBERCRIME,46,M,Firearm,Yes
Ghaziabad,ASSAULT,48,F,None,Yes
Meerut,SEXUAL ASSAULT,60,F,Firearm,No
Delhi,BURGLARY,11,M,Firearm,No
Mumbai,DOMESTIC VIOLENCE,76,F,Other,No
Delhi,ILLEGAL POSSESSION,55,M,Knife,Yes
Lucknow,TRAFFIC VIOLATION,17,F,None,No
Bangalore,PUBLIC INTOXICATION,50,F,Poison,Yes
Pune,VEHICLE - STOLEN,73,F,Firearm,No
Mumbai,CYBERCRIME,44,F,Blunt Object,Yes
Delhi,ILLEGAL POSSESSION,64,F,Explosives,Yes
Vasai,EXTORTION,78,F,Explosives,Yes
Nashik,HOMICIDE,54,F,Other,No
Pune,BURGLARY,25,F,Poison,No
Delhi,CYBERCRIME,44,M,Knife,No
Lucknow,DRUG OFFENSE,12,F,Firearm,No
Lucknow,ASSAULT,31,F,Other,Yes
Kolkata,BURGLARY,14,F,Explosives,Yes
Meerut,ILLEGAL POSSESSION,14,M,Knife,No
Ludhiana,CYBERCRIME,26,F,Poison,Yes
Jaipur,ILLEGAL POSSESSION,51,F,Firearm,No
Nagpur,KIDNAPPING,11,F,None,No
Jaipur,IDENTITY THEFT,43,F,None,No
Nagpur,FRAUD,69,M,None,No
Nashik,ILLEGAL POSSESSION,59,M,Knife,No
Chennai,KIDNAPPING,31,M,None,No
Indore,ILLEGAL POSSESSION,46,F,Explosives,No
Bangalore,COUNTERFEITING,28,M,Poison,Yes
Ghaziabad,EXTORTION,62,F,Knife,No
Delhi,FIREARM OFFENSE,36,F,Knife,No
Delhi,SEXUAL ASSAULT,24,F,Blunt Object,No
Meerut,DOMESTIC VIOLENCE,36,F,Other,Yes
Delhi,DRUG OFFENSE,28,F,Other,No
Lucknow,BURGLARY,29,F,Blunt Object,Yes
Indore,BURGLARY,44,M,Blunt Object,Yes
Mumbai,BURGLARY,27,F,None,Yes
Delhi,DRUG OFFENSE,19,F,Knife,No
Ghaziabad,DRUG OFFENSE,36,F,Blunt Object,Yes
Surat,IDENTITY THEFT,69,F,Blunt Object,Yes
Mumbai,IDENTITY THEFT,63,F,Poison,Yes
Kanpur,SEXUAL ASSAULT,38,F,Other,No
Thane,ILLEGAL POSSESSION,73,F,Explosives,No
Pune,COUNTERFEITING,57,M,Poison,No
Mumbai,IDENTITY THEFT,45,F,Firearm,No
Indore,COUNTERFEITING,13,F,Poison,No
Rajkot,TRAFFIC VIOLATION,59,F,Poison,Yes
Pune,IDENTITY THEFT,79,F,Other,Yes
Nagpur,COUNTERFEITING,19,M,Explosives,No
Delhi,COUNTERFEITING,51,F,Firearm,No
Delhi,ILLEGAL POSSESSION,54,F,Knife,Yes
Lucknow,VEHICLE - STOLEN,54,M,Poison,No
Mumbai,CYBERCRIME,56,M,Other,No
Ahmedabad,SHOPLIFTING,65,F,Other,No
Delhi,DOMESTIC VIOLENCE,35,F,Explosives,No
Chennai,BURGLARY,69,M,Explosives,No
Jaipur,ROBBERY,78,F,Firearm,Yes
Kanpur,COUNTERFEITING,19,F,Explosives,No
Mumbai,TRAFFIC VIOLATION,67,F,Knife,No
Meerut,DRUG OFFENSE,66,F,Knife,No
Agra,BURGLARY,36,F,None,Yes
Kolkata,COUNTERFEITING,52,M,Other,No
Varanasi,IDENTITY THEFT,77,F,Explosives,No
Pune,IDENTITY THEFT,38,F,None,Yes
Srinagar,BURGLARY,14,F,Poison,Yes
Hyderabad,EXTORTION,69,M,Other,No
Varanasi,DOMESTIC VIOLENCE,52,F,Poison,Yes
Kanpur,PUBLIC INTOXICATION,72,M,Explosives,No
Chennai,SHOPLIFTING,49,F,Explosives,Yes
Kolkata,FIREARM OFFENSE,29,M,Poison,Yes
Mumbai,KIDNAPPING,46,M,Knife,Yes
Bangalore,VEHICLE - STOLEN,60,F,Other,Yes
Delhi,FRAUD,30,F,None,No
Patna,VEHICLE - STOLEN,52,F,Knife,Yes
Ahmedabad,COUNTERFEITING,23,F,Knife,No
Thane,SHOPLIFTING,47,F,Explosives,Yes
Delhi,ROBBERY,36,M,Knife,Yes
Ludhiana,DOMESTIC VIOLENCE,40,M,Knife,Yes
Jaipur,ROBBERY,12,F,None,Yes
Ghaziabad,SEXUAL ASSAULT,66,F,None,No
Chennai,BURGLARY,33,F,Other,No
Hyderabad,KIDNAPPING,28,M,None,Yes
Mumbai,TRAFFIC VIOLATION,40,F,Knife,No
Lucknow,ILLEGAL POSSESSION,45,M,None,Yes
Kolkata,CYBERCRIME,73,F,Blunt Object,No
Hyderabad,EXTORTION,29,F,Explosives,Yes
Bangalore,FIREARM OFFENSE,33,F,Poison,Yes
Hyderabad,ILLEGAL POSSESSION,16,M,Other,No
Delhi,BURGLARY,46,F,Blunt Object,Yes
Jaipur,IDENTITY THEFT,14,F,Other,Yes
Mumbai,ILLEGAL POSSESSION,76,F,Firearm,No
Kalyan,BURGLARY,61,M,Explosives,No
Jaipur,SEXUAL ASSAULT,45,M,Poison,No
Jaipur,FRAUD,13,F,Poison,Yes
Delhi,BURGLARY,53,F,Knife,Yes
Surat,ROBBERY,17,M,None,No
Delhi,PUBLIC INTOXICATION,18,F,Other,Yes
Delhi,BURGLARY,18,F,None,No
Meerut,DRUG OFFENSE,79,F,Firearm,Yes
Mumbai,VANDALISM,28,M,Blunt Object,No
Delhi,FIREARM OFFENSE,79,F,None,No
Jaipur,SEXUAL ASSAULT,78,F,None,Yes
Nagpur,VEHICLE - STOLEN,22,F,Blunt Object,No
Hyderabad,ILLEGAL POSSESSION,31,F,None,Yes
Rajkot,SEXUAL ASSAULT,54,M,None,No
Surat,KIDNAPPING,35,F,Other,Yes
Chennai,VEHICLE - STOLEN,64,F,None,Yes
Pune,COUNTERFEITING,30,F,Explosives,Yes
Delhi,SEXUAL ASSAULT,69,M,None,No
Delhi,IDENTITY THEFT,42,F,Poison,No
Bhopal,FIREARM OFFENSE,68,M,Firearm,Yes
Kolkata,ROBBERY,55,F,None,Yes
Mumbai,CYBERCRIME,70,F,Knife,Yes
Hyderabad,CYBERCRIME,68,F,Poison,Yes
Jaipur,BURGLARY,56,F,Blunt Object,No
Pune,VANDALISM,62,M,Knife,Yes
Mumbai,ARSON,62,M,Poison,Yes
Pune,CYBERCRIME,44,F,Poison,No
Surat,COUNTERFEITING,58,M,Blunt Object,Yes
Kolkata,FRAUD,27,M,Blunt Object,No
Kolkata,SHOPLIFTING,73,F,Blunt Object,No
Visakhapatnam,COUNTERFEITING,54,M,Blunt Object,Yes
Pune,DOMESTIC VIOLENCE,59,F,Explosives,Yes
Delhi,FRAUD,27,F,None,Yes
Indore,ARSON,53,F,Other,Yes
Chennai,FRAUD,39,M,Knife,Yes
Delhi,DRUG OFFENSE,67,F,Blunt Object,Yes
Patna,ARSON,74,F,Knife,Yes
Ghaziabad,TRAFFIC VIOLATION,72,F,Other,No
Pune,COUNTERFEITING,58,M,None,No
Kanpur,ILLEGAL POSSESSION,76,F,Firearm,No
Ludhiana,PUBLIC INTOXICATION,43,F,Knife,Yes
Nagpur,COUNTERFEITING,45,M,Blunt Object,Yes
Agra,FIREARM OFFENSE,28,F,Blunt Object,No
Delhi,SEXUAL ASSAULT,67,F,Explosives,No
Hyderabad,ROBBERY,47,M,Other,Yes
Mumbai,BURGLARY,77,F,Firearm,No
Meerut,SHOPLIFTING,57,M,Other,Yes
Kolkata,BURGLARY,54,F,Other,No
Bangalore,SEXUAL ASSAULT,39,F,None,Yes
Ahmedabad,HOMICIDE,12,M,Poison,Yes
Hyderabad,VEHICLE - STOLEN,24,F,Explosives,No
Surat,FRAUD,17,M,Knife,No
Hyderabad,TRAFFIC VIOLATION,11,F,None,No
Ghaziabad,BURGLARY,15,M,Other,Yes
Delhi,EXTORTION,48,M,Firearm,No
Chennai,CYBERCRIME,32,F,Poison,Yes
Delhi,IDENTITY THEFT,65,M,Explosives,No
Mumbai,COUNTERFEITING,21,F,None,No
Chennai,SHOPLIFTING,60,M,Other,Yes
Delhi,DRUG OFFENSE,40,F,Blunt Object,No
Ahmedabad,VANDALISM,54,F,Other,No
Mumbai,VEHICLE - STOLEN,28,F,Firearm,Yes
Jaipur,IDENTITY THEFT,63,F,Firearm,Yes
Ludhiana,FIREARM OFFENSE,21,M,Explosives,No
Kolkata,VEHICLE - STOLEN,75,M,Firearm,Yes
Mumbai,BURGLARY,16,F,Poison,No
Bangalore,BURGLARY,31,F,Explosives,Yes
Chennai,ARSON,67,F,Knife,Yes
Mumbai,SHOPLIFTING,18,M,None,Yes
Bangalore,IDENTITY THEFT,59,F,Blunt Object,No
Bangalore,ASSAULT,41,F,Blunt Object,No
Pune,SHOPLIFTING,70,F,Blunt Object,Yes
Nagpur,CYBERCRIME,62,F,Other,No
Kolkata,HOMICIDE,16,F,Explosives,Yes
Chennai,SEXUAL ASSAULT,32,F,Blunt Object,No
Jaipur,COUNTERFEITING,10,F,Poison,No
Delhi,ARSON,48,M,Other,No
Delhi,DRUG OFFENSE,58,M,Firearm,No
Meerut,KIDNAPPING,26,F,Explosives,No
Meerut,PUBLIC INTOXICATION,65,F,Poison,Yes
Jaipur,EXTORTION,71,F,None,Yes
Nashik,COUNTERFEITING,62,M,Other,Yes
Jaipur,COUNTERFEITING,43,F,Other,Yes
